"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"16","1. FC Köln","KOE","Bayer 04 Leverkusen","LEV","Mi, 21. Dezember 2016 - 20:00","Mi 20:00","SCHEDULED","-","-"
"17","Bayer 04 Leverkusen","LEV","Hertha BSC","BSC","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","SV Darmstadt 98","DAR","Borussia Mönchengladbach","BMG","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","SC Freiburg","SCF","FC Bayern München","FCB","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","1. FSV Mainz 05","M05","1. FC Köln","KOE","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","Red Bull Leipzig","RBL","Eintracht Frankfurt","SGE","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","FC Schalke 04","S04","FC Ingolstadt 04","FCI","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","SV Werder Bremen","BRE","Borussia Dortmund","BVB","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","VfL Wolfsburg","WOB","Hamburger SV","HSV","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"17","FC Augsburg","FCA","TSG 1899 Hoffenheim","HOF","Sa, 21. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","VfL Wolfsburg","WOB","FC Augsburg","FCA","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","Bayer 04 Leverkusen","LEV","Borussia Mönchengladbach","BMG","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","SV Darmstadt 98","DAR","1. FC Köln","KOE","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","SC Freiburg","SCF","Hertha BSC","BSC","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","FC Ingolstadt 04","FCI","Hamburger SV","HSV","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","1. FSV Mainz 05","M05","Borussia Dortmund","BVB","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"18","Red Bull Leipzig","RBL","TSG 1899 Hoffenheim","HOF","Sa, 28. Januar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
